client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224402.mp3	hiru	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224404.mp3	zazpi	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224405.mp3	ez	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224407.mp3	bi	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224410.mp3	bost	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224431.mp3	zero	2	1				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224442.mp3	bat	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224444.mp3	lau	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224445.mp3	sei	2	0				eu	Singleword Benchmark
f2b096ffad41f7b7fbf6f9e9ceecb8863eec60bc3c94a881f713b859217e2e2987ddb4cd8491b015b16a07ab73d067e58f5bfa698f740b910dca11fe19dc5a9c	common_voice_eu_22224473.mp3	bederatzi	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241182.mp3	hiru	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241183.mp3	bi	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241184.mp3	zero	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241185.mp3	bat	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241186.mp3	bai	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241208.mp3	sei	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241210.mp3	zortzi	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241211.mp3	ez	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241213.mp3	lau	2	0				eu	Singleword Benchmark
f459e967cba5715224dc824a7075fab22477a2bcf536f30647a3a3beeaba2ebab9ba1907e201e49a139802d4cc6597b92f80fb90a14dd5479ed59329a14d7758	common_voice_eu_22241214.mp3	bederatzi	2	0				eu	Singleword Benchmark
ff392135fad2ab6b3abdf17accb63235b3d1d802f6c42fcdd637832baee4b19e21a66bd1b1111d47f2454089d54ee6c6c8eeeb627424c2fcadc81d55ecee0828	common_voice_eu_22318618.mp3	bederatzi	2	0	fifties	male		eu	Singleword Benchmark
ff392135fad2ab6b3abdf17accb63235b3d1d802f6c42fcdd637832baee4b19e21a66bd1b1111d47f2454089d54ee6c6c8eeeb627424c2fcadc81d55ecee0828	common_voice_eu_22318619.mp3	sei	2	0	fifties	male		eu	Singleword Benchmark
ff392135fad2ab6b3abdf17accb63235b3d1d802f6c42fcdd637832baee4b19e21a66bd1b1111d47f2454089d54ee6c6c8eeeb627424c2fcadc81d55ecee0828	common_voice_eu_22318620.mp3	bost	2	1	fifties	male		eu	Singleword Benchmark
ff392135fad2ab6b3abdf17accb63235b3d1d802f6c42fcdd637832baee4b19e21a66bd1b1111d47f2454089d54ee6c6c8eeeb627424c2fcadc81d55ecee0828	common_voice_eu_22318621.mp3	bat	2	0	fifties	male		eu	Singleword Benchmark
ff392135fad2ab6b3abdf17accb63235b3d1d802f6c42fcdd637832baee4b19e21a66bd1b1111d47f2454089d54ee6c6c8eeeb627424c2fcadc81d55ecee0828	common_voice_eu_22318622.mp3	zero	2	0	fifties	male		eu	Singleword Benchmark
ff392135fad2ab6b3abdf17accb63235b3d1d802f6c42fcdd637832baee4b19e21a66bd1b1111d47f2454089d54ee6c6c8eeeb627424c2fcadc81d55ecee0828	common_voice_eu_22318659.mp3	zortzi	2	1	fifties	male		eu	Singleword Benchmark
